Method,AUC,Acc,Pre,Rec,Spe,F1
Overall,,,,,,
Virchow+HiLA-MIL (Ours),0.9695±0.0131,0.9125±0.0337,0.8149±0.0763,0.8076±0.0792,0.9714±0.0122,0.7995±0.0704
,,,,,,
Negative,,,,,,
Virchow+HiLA-MIL (Ours),0.9978±0.0069,0.9924±0.0192,0.9852±0.0468,0.9957±0.0137,0.9907±0.0294,0.9898±0.0255
,,,,,,
ITC,,,,,,
Virchow+HiLA-MIL (Ours),0.9510±0.0207,0.9487±0.0190,0.5783±0.1796,0.6500±0.2934,0.9679±0.0212,0.5857±0.1873
,,,,,,
Micro,,,,,,
Virchow+HiLA-MIL (Ours),0.9439±0.0323,0.9215±0.0298,0.7367±0.1773,0.6236±0.1394,0.9638±0.0275,0.6628±0.1162
,,,,,,
Macro,,,,,,
Virchow+HiLA-MIL (Ours),0.9854±0.0100,0.9623±0.0236,0.9595±0.0382,0.9613±0.0333,0.9633±0.0350,0.9598±0.0248
,,,,,,
